ID,Health,Type
1,20,Dove
2,20,Dove
3,40,Dove
4,80,Dove
5,80,Dove
6,100,Dove
7,20,Dove
8,20,Dove
9,100,Dove
10,60,Dove
11,40,Dove
12,40,Dove
13,40,Dove
14,60,Dove
15,100,Dove
16,40,Dove
17,20,Dove
18,60,Dove
19,40,Dove
20,100,Dove
21,80,Dove
22,80,Dove
23,40,Dove
24,100,Dove
25,100,Dove
26,80,Dove
27,100,Dove
28,20,Dove
29,20,Dove
30,60,Dove
31,80,Hawk
32,20,Hawk
33,20,Hawk
34,100,Hawk
35,40,Hawk
36,80,Hawk
37,40,Hawk
38,100,Hawk
39,40,Hawk
40,20,Hawk
41,100,Hawk
42,80,Hawk
43,80,Hawk
44,40,Hawk
45,80,Hawk
46,80,Hawk
47,60,Hawk
48,40,Hawk
49,40,Hawk
50,80,Hawk
51,100,Hawk
52,80,Hawk
53,60,Hawk
54,20,Hawk
55,100,Hawk
56,100,Hawk
57,60,Hawk
58,100,Hawk
59,80,Hawk
60,20,Hawk
