ID,Health,Type
1,100,Dove
2,20,Dove
3,40,Dove
4,60,Dove
5,60,Dove
6,100,Dove
7,60,Dove
8,20,Dove
9,20,Dove
10,60,Dove
11,60,Dove
12,60,Dove
13,100,Dove
14,20,Dove
15,80,Dove
16,20,Dove
17,60,Dove
18,80,Dove
19,80,Dove
20,80,Dove
21,80,Dove
22,20,Dove
23,80,Dove
24,20,Dove
25,80,Dove
26,60,Dove
27,60,Dove
28,100,Dove
29,80,Hawk
30,20,Hawk
31,100,Hawk
32,100,Hawk
33,80,Hawk
34,80,Hawk
35,80,Hawk
36,40,Hawk
37,40,Hawk
38,80,Hawk
39,40,Hawk
40,40,Hawk
41,60,Hawk
42,40,Hawk
43,100,Hawk
44,40,Hawk
45,100,Hawk
46,60,Hawk
47,80,Hawk
48,20,Hawk
49,20,Hawk
50,60,Hawk
51,20,Hawk
52,80,Hawk
53,40,Hawk
54,20,Hawk
55,60,Hawk
56,40,Hawk
57,80,Hawk
