ID,Health,Type
1,80,Dove
2,40,Dove
3,20,Dove
4,40,Dove
5,60,Dove
6,100,Dove
7,60,Dove
8,100,Dove
9,40,Dove
10,80,Dove
11,80,Dove
12,80,Dove
13,60,Dove
14,20,Dove
15,80,Dove
16,60,Dove
17,100,Dove
18,80,Dove
19,80,Dove
20,40,Dove
21,100,Dove
22,20,Dove
23,40,Dove
24,100,Dove
25,60,Dove
26,40,Dove
27,80,Dove
28,20,Dove
29,40,Dove
30,20,Dove
31,20,Dove
32,40,Dove
33,100,Dove
34,60,Dove
35,20,Dove
36,60,Dove
37,20,Dove
38,40,Dove
39,80,Hawk
40,40,Hawk
41,40,Hawk
42,80,Hawk
43,80,Hawk
44,20,Hawk
45,60,Hawk
46,20,Hawk
47,80,Hawk
48,60,Hawk
49,20,Hawk
50,40,Hawk
51,80,Hawk
52,100,Hawk
53,20,Hawk
54,80,Hawk
55,80,Hawk
56,60,Hawk
57,80,Hawk
58,100,Hawk
59,100,Hawk
60,40,Hawk
61,100,Hawk
62,40,Hawk
63,100,Hawk
64,80,Hawk
65,60,Hawk
66,40,Hawk
67,80,Hawk
68,40,Hawk
69,100,Hawk
70,60,Hawk
71,40,Hawk
72,60,Hawk
73,100,Hawk
74,40,Hawk
75,100,Hawk
76,100,Hawk
77,80,Hawk
