ID,Health,Type
1,100,Dove
2,40,Dove
3,60,Dove
4,80,Dove
5,60,Dove
6,40,Dove
7,80,Dove
8,60,Dove
9,20,Dove
10,40,Dove
11,100,Dove
12,40,Dove
13,20,Dove
14,80,Dove
15,80,Dove
16,60,Dove
17,40,Dove
18,100,Dove
19,60,Dove
20,40,Dove
21,100,Dove
22,20,Dove
23,80,Dove
24,40,Dove
25,20,Dove
26,40,Dove
27,40,Dove
28,100,Dove
29,20,Hawk
30,80,Hawk
31,20,Hawk
32,20,Hawk
33,100,Hawk
34,80,Hawk
35,60,Hawk
36,60,Hawk
37,100,Hawk
38,100,Hawk
39,40,Hawk
40,100,Hawk
41,80,Hawk
42,20,Hawk
43,40,Hawk
44,40,Hawk
45,60,Hawk
46,20,Hawk
47,100,Hawk
48,100,Hawk
49,100,Hawk
50,20,Hawk
51,60,Hawk
52,100,Hawk
53,20,Hawk
54,20,Hawk
55,60,Hawk
