ID,Health,Type
1,40,Dove
2,40,Dove
3,40,Dove
4,60,Dove
5,20,Dove
6,20,Dove
7,100,Dove
8,80,Dove
9,100,Dove
10,100,Dove
11,80,Dove
12,40,Dove
13,80,Dove
14,20,Dove
15,80,Dove
16,20,Dove
17,20,Dove
18,60,Dove
19,40,Dove
20,20,Dove
21,40,Dove
22,60,Dove
23,80,Dove
24,100,Dove
25,20,Dove
26,40,Dove
27,20,Dove
28,60,Dove
29,80,Dove
30,40,Dove
31,80,Dove
32,80,Dove
33,20,Dove
34,20,Dove
35,60,Dove
36,100,Dove
37,40,Dove
38,100,Dove
39,60,Dove
40,80,Dove
41,60,Dove
42,20,Dove
43,40,Dove
44,100,Dove
45,80,Dove
46,60,Dove
47,40,Dove
48,60,Dove
49,60,Dove
50,60,Dove
51,60,Dove
52,20,Dove
53,80,Dove
54,100,Dove
55,40,Dove
56,60,Dove
57,100,Dove
58,20,Dove
59,60,Dove
60,80,Dove
61,80,Dove
62,80,Dove
63,80,Dove
64,60,Dove
65,100,Dove
66,20,Dove
67,40,Dove
68,20,Dove
69,20,Dove
70,80,Dove
71,20,Dove
72,80,Dove
73,100,Dove
74,60,Dove
75,100,Dove
76,60,Dove
77,40,Dove
78,60,Dove
79,40,Dove
80,40,Dove
81,60,Dove
82,40,Dove
83,40,Dove
84,40,Dove
85,100,Dove
86,20,Dove
87,40,Dove
88,20,Dove
89,40,Dove
90,20,Dove
91,80,Dove
92,100,Dove
93,80,Dove
94,20,Dove
95,20,Dove
96,40,Dove
97,60,Dove
98,80,Dove
99,60,Dove
100,100,Dove
101,100,Dove
102,60,Dove
103,40,Dove
104,20,Dove
105,40,Dove
106,80,Hawk
107,20,Hawk
108,20,Hawk
109,80,Hawk
110,40,Hawk
111,80,Hawk
112,80,Hawk
113,40,Hawk
114,100,Hawk
115,40,Hawk
116,80,Hawk
117,100,Hawk
118,100,Hawk
119,40,Hawk
120,100,Hawk
121,40,Hawk
122,80,Hawk
123,60,Hawk
124,40,Hawk
125,80,Hawk
126,80,Hawk
127,100,Hawk
128,100,Hawk
129,60,Hawk
130,20,Hawk
131,20,Hawk
132,100,Hawk
133,60,Hawk
134,100,Hawk
135,80,Hawk
136,80,Hawk
137,60,Hawk
138,100,Hawk
139,60,Hawk
140,40,Hawk
141,100,Hawk
142,100,Hawk
143,60,Hawk
144,40,Hawk
145,100,Hawk
146,80,Hawk
147,100,Hawk
148,100,Hawk
149,80,Hawk
150,40,Hawk
151,80,Hawk
152,80,Hawk
153,100,Hawk
154,100,Hawk
155,100,Hawk
156,40,Hawk
157,60,Hawk
158,40,Hawk
159,100,Hawk
160,100,Hawk
161,80,Hawk
162,60,Hawk
163,40,Hawk
164,40,Hawk
165,40,Hawk
166,40,Hawk
167,60,Hawk
168,80,Hawk
169,40,Hawk
170,20,Hawk
171,40,Hawk
172,100,Hawk
173,80,Hawk
174,20,Hawk
175,40,Hawk
176,40,Hawk
177,80,Hawk
178,60,Hawk
179,80,Hawk
180,100,Hawk
181,80,Hawk
182,20,Hawk
183,60,Hawk
184,80,Hawk
185,60,Hawk
186,20,Hawk
187,40,Hawk
188,80,Hawk
189,40,Hawk
190,100,Hawk
191,100,Hawk
192,40,Hawk
193,20,Hawk
194,40,Hawk
195,80,Hawk
196,40,Hawk
197,20,Hawk
198,20,Hawk
199,100,Hawk
200,80,Hawk
201,80,Hawk
202,100,Hawk
203,60,Hawk
204,20,Hawk
205,60,Hawk
206,100,Hawk
207,20,Hawk
208,100,Hawk
209,100,Hawk
210,80,Hawk
