ID,Health,Type
1,80,Dove
2,60,Dove
3,40,Dove
4,60,Dove
5,60,Dove
6,100,Dove
7,80,Dove
8,40,Dove
9,40,Dove
10,40,Dove
11,80,Dove
12,60,Dove
13,100,Dove
14,60,Dove
15,60,Dove
16,20,Dove
17,20,Dove
18,80,Dove
19,40,Dove
20,60,Dove
21,80,Dove
22,80,Dove
23,20,Dove
24,100,Dove
25,80,Dove
26,100,Dove
27,20,Dove
28,100,Dove
29,40,Dove
30,80,Dove
31,20,Dove
32,40,Dove
33,80,Dove
34,80,Dove
35,60,Dove
36,60,Dove
37,100,Dove
38,60,Dove
39,80,Dove
40,40,Dove
41,20,Dove
42,60,Dove
43,20,Dove
44,20,Dove
45,100,Dove
46,40,Dove
47,80,Dove
48,20,Dove
49,60,Dove
50,60,Dove
51,80,Dove
52,100,Dove
53,40,Dove
54,40,Dove
55,80,Dove
56,80,Dove
57,80,Dove
58,80,Dove
59,20,Dove
60,60,Dove
61,40,Dove
62,60,Dove
63,80,Dove
64,100,Dove
65,60,Dove
66,20,Dove
67,60,Dove
68,80,Dove
69,20,Dove
70,80,Dove
71,60,Dove
72,80,Dove
73,80,Dove
74,40,Dove
75,100,Hawk
76,80,Hawk
77,80,Hawk
78,100,Hawk
79,40,Hawk
80,60,Hawk
81,80,Hawk
82,20,Hawk
83,60,Hawk
84,40,Hawk
85,40,Hawk
86,60,Hawk
87,100,Hawk
88,80,Hawk
89,60,Hawk
90,20,Hawk
91,20,Hawk
92,100,Hawk
93,40,Hawk
94,40,Hawk
95,40,Hawk
96,80,Hawk
97,100,Hawk
98,60,Hawk
99,40,Hawk
100,80,Hawk
101,80,Hawk
102,40,Hawk
103,80,Hawk
104,100,Hawk
105,20,Hawk
106,60,Hawk
107,100,Hawk
108,40,Hawk
109,60,Hawk
110,40,Hawk
111,100,Hawk
112,60,Hawk
113,80,Hawk
114,100,Hawk
115,20,Hawk
116,40,Hawk
117,60,Hawk
118,40,Hawk
119,80,Hawk
120,100,Hawk
121,60,Hawk
122,80,Hawk
123,100,Hawk
124,100,Hawk
125,80,Hawk
126,40,Hawk
127,20,Hawk
128,40,Hawk
129,100,Hawk
130,40,Hawk
131,100,Hawk
132,80,Hawk
133,100,Hawk
134,40,Hawk
135,20,Hawk
136,20,Hawk
137,20,Hawk
138,20,Hawk
139,40,Hawk
140,80,Hawk
141,40,Hawk
142,100,Hawk
143,100,Hawk
144,20,Hawk
145,60,Hawk
146,20,Hawk
147,100,Hawk
148,20,Hawk
