ID,Health,Type
1,20,Dove
2,20,Dove
3,80,Dove
4,40,Dove
5,40,Dove
6,20,Dove
7,60,Dove
8,20,Dove
9,40,Dove
10,80,Dove
11,40,Dove
12,40,Dove
13,100,Dove
14,60,Dove
15,60,Dove
16,60,Dove
17,40,Dove
18,100,Dove
19,80,Dove
20,60,Dove
21,40,Dove
22,20,Dove
23,40,Dove
24,80,Dove
25,100,Dove
26,40,Dove
27,100,Dove
28,20,Dove
29,100,Dove
30,60,Dove
31,40,Dove
32,100,Dove
33,40,Dove
34,60,Dove
35,40,Dove
36,100,Dove
37,40,Dove
38,20,Dove
39,20,Dove
40,80,Dove
41,60,Dove
42,100,Dove
43,100,Hawk
44,20,Hawk
45,80,Hawk
46,40,Hawk
47,80,Hawk
48,40,Hawk
49,100,Hawk
50,80,Hawk
51,40,Hawk
52,80,Hawk
53,60,Hawk
54,100,Hawk
55,100,Hawk
56,60,Hawk
57,80,Hawk
58,40,Hawk
59,20,Hawk
60,20,Hawk
61,60,Hawk
62,40,Hawk
63,80,Hawk
64,60,Hawk
65,80,Hawk
66,100,Hawk
67,40,Hawk
68,100,Hawk
69,40,Hawk
70,100,Hawk
71,40,Hawk
72,20,Hawk
73,20,Hawk
74,40,Hawk
75,20,Hawk
76,100,Hawk
77,40,Hawk
78,80,Hawk
79,80,Hawk
80,20,Hawk
81,40,Hawk
82,60,Hawk
83,20,Hawk
