ID,Health,Type
1,40,Dove
2,40,Dove
3,40,Dove
4,80,Dove
5,80,Dove
6,40,Dove
7,40,Dove
8,40,Dove
9,40,Dove
10,60,Dove
11,40,Dove
12,20,Dove
13,40,Dove
14,80,Dove
15,100,Dove
16,100,Dove
17,60,Dove
18,60,Dove
19,100,Dove
20,60,Dove
21,40,Dove
22,60,Dove
23,60,Dove
24,20,Dove
25,80,Dove
26,60,Dove
27,40,Dove
28,80,Dove
29,20,Dove
30,40,Dove
31,40,Dove
32,80,Dove
33,80,Hawk
34,40,Hawk
35,40,Hawk
36,20,Hawk
37,60,Hawk
38,20,Hawk
39,60,Hawk
40,20,Hawk
41,60,Hawk
42,100,Hawk
43,40,Hawk
44,60,Hawk
45,80,Hawk
46,80,Hawk
47,80,Hawk
48,80,Hawk
49,40,Hawk
50,40,Hawk
51,80,Hawk
52,20,Hawk
53,40,Hawk
54,40,Hawk
55,20,Hawk
56,40,Hawk
57,20,Hawk
58,20,Hawk
59,60,Hawk
60,80,Hawk
61,100,Hawk
62,60,Hawk
63,60,Hawk
