ID,Health,Type
1,40,Dove
2,80,Dove
3,40,Dove
4,80,Dove
5,60,Dove
6,60,Dove
7,60,Dove
8,60,Dove
9,100,Dove
10,100,Dove
11,20,Dove
12,80,Dove
13,80,Dove
14,60,Dove
15,80,Dove
16,100,Dove
17,60,Dove
18,40,Dove
19,100,Dove
20,40,Dove
21,100,Dove
22,40,Dove
23,80,Dove
24,40,Dove
25,80,Dove
26,60,Dove
27,100,Dove
28,20,Dove
29,40,Dove
30,20,Dove
31,60,Dove
32,20,Dove
33,60,Dove
34,40,Dove
35,40,Dove
36,60,Dove
37,20,Dove
38,60,Dove
39,80,Dove
40,20,Dove
41,80,Dove
42,40,Dove
43,40,Dove
44,40,Dove
45,20,Dove
46,80,Dove
47,20,Dove
48,80,Dove
49,100,Dove
50,60,Dove
51,100,Dove
52,80,Dove
53,80,Dove
54,60,Dove
55,40,Hawk
56,40,Hawk
57,40,Hawk
58,40,Hawk
59,20,Hawk
60,80,Hawk
61,100,Hawk
62,100,Hawk
63,60,Hawk
64,20,Hawk
65,100,Hawk
66,40,Hawk
67,100,Hawk
68,80,Hawk
69,80,Hawk
70,80,Hawk
71,40,Hawk
72,100,Hawk
73,20,Hawk
74,20,Hawk
75,80,Hawk
76,100,Hawk
77,20,Hawk
78,80,Hawk
79,40,Hawk
80,60,Hawk
81,40,Hawk
82,20,Hawk
83,100,Hawk
84,40,Hawk
85,20,Hawk
86,20,Hawk
87,60,Hawk
88,20,Hawk
89,40,Hawk
90,60,Hawk
91,60,Hawk
92,40,Hawk
93,40,Hawk
94,100,Hawk
95,100,Hawk
96,40,Hawk
97,40,Hawk
98,20,Hawk
99,40,Hawk
100,80,Hawk
101,100,Hawk
102,20,Hawk
103,60,Hawk
104,40,Hawk
105,40,Hawk
106,80,Hawk
107,80,Hawk
108,40,Hawk
