ID,Health,Type
1,20,Dove
2,60,Dove
3,100,Dove
4,80,Dove
5,100,Dove
6,60,Dove
7,100,Dove
8,40,Dove
9,80,Dove
10,60,Dove
11,80,Dove
12,40,Dove
13,20,Dove
14,40,Dove
15,20,Dove
16,60,Dove
17,80,Dove
18,60,Dove
19,20,Dove
20,20,Dove
21,20,Dove
22,20,Dove
23,80,Dove
24,60,Dove
25,20,Dove
26,40,Dove
27,40,Dove
28,40,Dove
29,40,Dove
30,60,Dove
31,100,Dove
32,60,Dove
33,80,Dove
34,40,Dove
35,100,Dove
36,40,Dove
37,60,Dove
38,100,Dove
39,60,Dove
40,100,Dove
41,40,Dove
42,40,Dove
43,100,Dove
44,60,Dove
45,20,Dove
46,100,Dove
47,60,Dove
48,20,Dove
49,40,Dove
50,80,Dove
51,60,Dove
52,80,Dove
53,20,Dove
54,80,Dove
55,20,Dove
56,100,Dove
57,40,Dove
58,80,Dove
59,100,Dove
60,80,Dove
61,40,Dove
62,60,Dove
63,40,Dove
64,80,Dove
65,40,Dove
66,20,Dove
67,100,Dove
68,20,Dove
69,100,Dove
70,40,Dove
71,60,Dove
72,40,Dove
73,100,Dove
74,20,Dove
75,80,Dove
76,60,Dove
77,40,Dove
78,100,Dove
79,60,Dove
80,60,Dove
81,80,Dove
82,100,Dove
83,40,Dove
84,100,Dove
85,40,Dove
86,100,Dove
87,80,Dove
88,60,Dove
89,80,Dove
90,80,Dove
91,40,Dove
92,40,Dove
93,40,Dove
94,80,Dove
95,80,Dove
96,100,Dove
97,40,Dove
98,60,Dove
99,80,Dove
100,40,Dove
101,60,Dove
102,80,Dove
103,100,Dove
104,60,Hawk
105,100,Hawk
106,100,Hawk
107,60,Hawk
108,80,Hawk
109,60,Hawk
110,40,Hawk
111,40,Hawk
112,60,Hawk
113,60,Hawk
114,40,Hawk
115,60,Hawk
116,20,Hawk
117,80,Hawk
118,20,Hawk
119,40,Hawk
120,40,Hawk
121,20,Hawk
122,20,Hawk
123,60,Hawk
124,40,Hawk
125,100,Hawk
126,40,Hawk
127,40,Hawk
128,80,Hawk
129,100,Hawk
130,40,Hawk
131,60,Hawk
132,80,Hawk
133,100,Hawk
134,60,Hawk
135,60,Hawk
136,60,Hawk
137,80,Hawk
138,60,Hawk
139,60,Hawk
140,20,Hawk
141,60,Hawk
142,40,Hawk
143,20,Hawk
144,20,Hawk
145,100,Hawk
146,40,Hawk
147,20,Hawk
148,80,Hawk
149,100,Hawk
150,100,Hawk
151,40,Hawk
152,20,Hawk
153,40,Hawk
154,40,Hawk
155,60,Hawk
156,40,Hawk
157,20,Hawk
158,40,Hawk
159,20,Hawk
160,20,Hawk
161,100,Hawk
162,60,Hawk
163,20,Hawk
164,100,Hawk
165,100,Hawk
166,40,Hawk
167,60,Hawk
168,60,Hawk
169,20,Hawk
170,20,Hawk
171,20,Hawk
172,40,Hawk
173,60,Hawk
174,100,Hawk
175,80,Hawk
176,60,Hawk
177,100,Hawk
178,60,Hawk
179,60,Hawk
180,20,Hawk
181,20,Hawk
182,20,Hawk
183,100,Hawk
184,100,Hawk
185,40,Hawk
186,20,Hawk
187,100,Hawk
188,20,Hawk
189,40,Hawk
190,100,Hawk
191,100,Hawk
192,40,Hawk
193,80,Hawk
194,60,Hawk
195,100,Hawk
196,60,Hawk
197,40,Hawk
198,60,Hawk
199,20,Hawk
200,40,Hawk
201,80,Hawk
202,20,Hawk
203,80,Hawk
204,20,Hawk
