ID,Health,Type
1,20,Dove
2,40,Dove
3,40,Dove
4,100,Dove
5,20,Dove
6,100,Dove
7,20,Dove
8,80,Dove
9,20,Dove
10,100,Dove
11,80,Dove
12,100,Dove
13,60,Dove
14,20,Dove
15,60,Dove
16,20,Dove
17,40,Dove
18,80,Dove
19,20,Dove
20,100,Dove
21,100,Dove
22,40,Dove
23,40,Dove
24,100,Dove
25,60,Dove
26,100,Dove
27,100,Dove
28,100,Dove
29,60,Dove
30,60,Dove
31,40,Dove
32,60,Dove
33,100,Hawk
34,80,Hawk
35,80,Hawk
36,20,Hawk
37,40,Hawk
38,80,Hawk
39,100,Hawk
40,100,Hawk
41,20,Hawk
42,80,Hawk
43,100,Hawk
44,80,Hawk
45,20,Hawk
46,100,Hawk
47,20,Hawk
48,100,Hawk
49,40,Hawk
50,60,Hawk
51,20,Hawk
52,80,Hawk
53,80,Hawk
54,20,Hawk
55,40,Hawk
56,20,Hawk
57,40,Hawk
58,40,Hawk
59,20,Hawk
60,80,Hawk
61,100,Hawk
62,80,Hawk
63,40,Hawk
