ID,Health,Type
1,100,Dove
2,60,Dove
3,100,Dove
4,40,Dove
5,40,Dove
6,100,Dove
7,40,Dove
8,100,Dove
9,40,Dove
10,100,Dove
11,80,Dove
12,20,Dove
13,20,Dove
14,60,Dove
15,80,Dove
16,40,Dove
17,60,Dove
18,80,Dove
19,60,Dove
20,20,Dove
21,40,Dove
22,100,Dove
23,60,Dove
24,40,Dove
25,40,Dove
26,20,Dove
27,100,Dove
28,20,Dove
29,100,Dove
30,80,Dove
31,100,Dove
32,40,Dove
33,60,Dove
34,100,Dove
35,80,Dove
36,40,Dove
37,40,Dove
38,20,Dove
39,40,Dove
40,100,Dove
41,80,Dove
42,20,Dove
43,40,Dove
44,60,Dove
45,100,Dove
46,60,Dove
47,80,Dove
48,80,Dove
49,100,Dove
50,60,Dove
51,60,Dove
52,40,Dove
53,60,Dove
54,100,Hawk
55,100,Hawk
56,80,Hawk
57,40,Hawk
58,100,Hawk
59,80,Hawk
60,20,Hawk
61,40,Hawk
62,80,Hawk
63,100,Hawk
64,60,Hawk
65,60,Hawk
66,80,Hawk
67,20,Hawk
68,60,Hawk
69,100,Hawk
70,40,Hawk
71,20,Hawk
72,80,Hawk
73,80,Hawk
74,80,Hawk
75,20,Hawk
76,20,Hawk
77,80,Hawk
78,40,Hawk
79,20,Hawk
80,100,Hawk
81,60,Hawk
82,40,Hawk
83,80,Hawk
84,40,Hawk
85,20,Hawk
86,40,Hawk
87,40,Hawk
88,60,Hawk
89,100,Hawk
90,80,Hawk
91,40,Hawk
92,20,Hawk
93,20,Hawk
94,40,Hawk
95,60,Hawk
96,80,Hawk
97,80,Hawk
98,80,Hawk
99,60,Hawk
100,20,Hawk
101,20,Hawk
102,80,Hawk
103,60,Hawk
104,20,Hawk
105,80,Hawk
106,40,Hawk
