ID,Health,Type
1,100,Dove
2,40,Dove
3,80,Dove
4,100,Dove
5,80,Dove
6,20,Dove
7,40,Dove
8,40,Dove
9,60,Dove
10,100,Dove
11,60,Dove
12,100,Dove
13,40,Dove
14,40,Dove
15,20,Dove
16,20,Dove
17,80,Dove
18,20,Dove
19,100,Dove
20,20,Dove
21,60,Dove
22,20,Dove
23,60,Dove
24,20,Dove
25,100,Dove
26,60,Dove
27,60,Dove
28,40,Dove
29,60,Dove
30,60,Dove
31,20,Dove
32,80,Dove
33,100,Dove
34,100,Dove
35,80,Dove
36,60,Dove
37,100,Dove
38,80,Dove
39,40,Dove
40,60,Dove
41,80,Dove
42,100,Dove
43,20,Dove
44,40,Hawk
45,100,Hawk
46,20,Hawk
47,60,Hawk
48,20,Hawk
49,20,Hawk
50,60,Hawk
51,40,Hawk
52,20,Hawk
53,40,Hawk
54,20,Hawk
55,20,Hawk
56,20,Hawk
57,80,Hawk
58,100,Hawk
59,80,Hawk
60,20,Hawk
61,60,Hawk
62,80,Hawk
63,40,Hawk
64,60,Hawk
65,40,Hawk
66,40,Hawk
67,40,Hawk
68,80,Hawk
69,20,Hawk
70,80,Hawk
71,20,Hawk
72,80,Hawk
73,80,Hawk
74,60,Hawk
75,100,Hawk
76,40,Hawk
77,20,Hawk
78,40,Hawk
79,100,Hawk
80,60,Hawk
81,60,Hawk
82,20,Hawk
83,40,Hawk
84,20,Hawk
85,20,Hawk
86,80,Hawk
