ID,Health,Type
1,100,Dove
2,40,Dove
3,80,Dove
4,80,Dove
5,80,Dove
6,60,Dove
7,40,Dove
8,40,Dove
9,40,Dove
10,100,Dove
11,80,Dove
12,80,Dove
13,60,Dove
14,60,Dove
15,60,Dove
16,60,Dove
17,40,Dove
18,40,Dove
19,100,Dove
20,100,Dove
21,60,Dove
22,40,Dove
23,20,Dove
24,40,Dove
25,20,Dove
26,80,Dove
27,80,Dove
28,20,Dove
29,100,Dove
30,40,Dove
31,80,Dove
32,100,Dove
33,40,Dove
34,100,Dove
35,60,Dove
36,40,Dove
37,60,Dove
38,100,Dove
39,60,Dove
40,80,Dove
41,60,Dove
42,60,Dove
43,80,Dove
44,40,Dove
45,40,Dove
46,40,Dove
47,20,Dove
48,40,Dove
49,80,Dove
50,80,Dove
51,40,Dove
52,60,Dove
53,80,Dove
54,20,Dove
55,80,Dove
56,20,Dove
57,60,Dove
58,20,Dove
59,20,Dove
60,100,Dove
61,100,Dove
62,100,Dove
63,20,Dove
64,40,Dove
65,40,Dove
66,60,Dove
67,40,Dove
68,100,Dove
69,60,Dove
70,80,Dove
71,100,Dove
72,80,Dove
73,100,Dove
74,60,Dove
75,100,Dove
76,80,Dove
77,100,Dove
78,40,Dove
79,20,Dove
80,100,Dove
81,100,Dove
82,20,Dove
83,80,Dove
84,100,Dove
85,40,Hawk
86,100,Hawk
87,100,Hawk
88,100,Hawk
89,60,Hawk
90,60,Hawk
91,40,Hawk
92,80,Hawk
93,40,Hawk
94,100,Hawk
95,100,Hawk
96,100,Hawk
97,40,Hawk
98,40,Hawk
99,20,Hawk
100,80,Hawk
101,80,Hawk
102,40,Hawk
103,20,Hawk
104,60,Hawk
105,60,Hawk
106,40,Hawk
107,80,Hawk
108,20,Hawk
109,60,Hawk
110,60,Hawk
111,40,Hawk
112,100,Hawk
113,40,Hawk
114,60,Hawk
115,80,Hawk
116,100,Hawk
117,60,Hawk
118,80,Hawk
119,100,Hawk
120,60,Hawk
121,20,Hawk
122,40,Hawk
123,60,Hawk
124,40,Hawk
125,60,Hawk
126,80,Hawk
127,40,Hawk
128,60,Hawk
129,40,Hawk
130,80,Hawk
131,40,Hawk
132,20,Hawk
133,100,Hawk
134,60,Hawk
135,80,Hawk
136,40,Hawk
137,60,Hawk
138,60,Hawk
139,100,Hawk
140,60,Hawk
141,20,Hawk
142,80,Hawk
143,40,Hawk
144,80,Hawk
145,100,Hawk
146,60,Hawk
147,100,Hawk
148,100,Hawk
149,20,Hawk
150,20,Hawk
151,20,Hawk
152,20,Hawk
153,40,Hawk
154,40,Hawk
155,80,Hawk
156,60,Hawk
157,60,Hawk
158,40,Hawk
159,40,Hawk
160,80,Hawk
161,40,Hawk
162,60,Hawk
163,20,Hawk
164,20,Hawk
165,20,Hawk
166,40,Hawk
167,100,Hawk
168,80,Hawk
