ID,Health,Type
1,20,Dove
2,60,Dove
3,100,Dove
4,100,Dove
5,100,Dove
6,100,Dove
7,20,Dove
8,100,Dove
9,100,Dove
10,60,Dove
11,80,Dove
12,80,Dove
13,100,Dove
14,40,Dove
15,80,Dove
16,100,Dove
17,60,Dove
18,100,Dove
19,40,Dove
20,60,Dove
21,100,Dove
22,100,Dove
23,100,Dove
24,20,Dove
25,60,Dove
26,20,Dove
27,80,Dove
28,60,Dove
29,80,Dove
30,20,Dove
31,100,Dove
32,40,Dove
33,60,Dove
34,60,Dove
35,80,Dove
36,100,Dove
37,60,Dove
38,20,Dove
39,40,Dove
40,40,Dove
41,60,Dove
42,40,Dove
43,60,Hawk
44,60,Hawk
45,80,Hawk
46,40,Hawk
47,40,Hawk
48,80,Hawk
49,60,Hawk
50,20,Hawk
51,40,Hawk
52,60,Hawk
53,40,Hawk
54,60,Hawk
55,80,Hawk
56,100,Hawk
57,40,Hawk
58,20,Hawk
59,40,Hawk
60,60,Hawk
61,20,Hawk
62,100,Hawk
63,20,Hawk
64,100,Hawk
65,40,Hawk
66,60,Hawk
67,60,Hawk
68,100,Hawk
69,60,Hawk
70,60,Hawk
71,60,Hawk
72,40,Hawk
73,20,Hawk
74,80,Hawk
