ID,Health,Type
1,60,Dove
2,40,Dove
3,20,Dove
4,80,Dove
5,80,Dove
6,40,Dove
7,20,Dove
8,100,Dove
9,20,Dove
10,100,Dove
11,40,Dove
12,100,Dove
13,60,Dove
14,40,Dove
15,100,Dove
16,20,Dove
17,20,Dove
18,60,Dove
19,20,Dove
20,80,Dove
21,80,Dove
22,80,Dove
23,100,Dove
24,100,Dove
25,20,Dove
26,40,Dove
27,80,Dove
28,80,Dove
29,100,Dove
30,20,Dove
31,20,Dove
32,60,Dove
33,80,Hawk
34,60,Hawk
35,100,Hawk
36,60,Hawk
37,20,Hawk
38,20,Hawk
39,40,Hawk
40,60,Hawk
41,100,Hawk
42,80,Hawk
43,60,Hawk
44,100,Hawk
45,60,Hawk
46,100,Hawk
47,40,Hawk
48,100,Hawk
49,40,Hawk
50,100,Hawk
51,80,Hawk
52,100,Hawk
53,40,Hawk
54,100,Hawk
