ID,Health,Type
1,40,Dove
2,60,Dove
3,80,Dove
4,60,Dove
5,60,Dove
6,80,Dove
7,60,Dove
8,100,Dove
9,20,Dove
10,20,Dove
11,80,Dove
12,60,Dove
13,80,Dove
14,20,Dove
15,80,Dove
16,20,Dove
17,20,Dove
18,100,Dove
19,20,Dove
20,60,Dove
21,100,Dove
22,100,Dove
23,40,Dove
24,80,Dove
25,100,Dove
26,20,Dove
27,20,Dove
28,100,Dove
29,60,Dove
30,100,Dove
31,80,Dove
32,60,Dove
33,40,Dove
34,40,Dove
35,100,Dove
36,40,Dove
37,60,Dove
38,20,Dove
39,40,Dove
40,20,Dove
41,20,Dove
42,40,Dove
43,100,Dove
44,100,Dove
45,40,Dove
46,20,Dove
47,40,Dove
48,100,Dove
49,20,Dove
50,80,Dove
51,100,Dove
52,80,Dove
53,40,Hawk
54,20,Hawk
55,60,Hawk
56,20,Hawk
57,40,Hawk
58,80,Hawk
59,80,Hawk
60,100,Hawk
61,20,Hawk
62,20,Hawk
63,60,Hawk
64,20,Hawk
65,100,Hawk
66,80,Hawk
67,40,Hawk
68,100,Hawk
69,80,Hawk
70,80,Hawk
71,100,Hawk
72,60,Hawk
73,100,Hawk
74,80,Hawk
75,40,Hawk
76,40,Hawk
77,100,Hawk
78,100,Hawk
79,40,Hawk
80,80,Hawk
81,80,Hawk
82,20,Hawk
83,20,Hawk
84,40,Hawk
85,100,Hawk
86,100,Hawk
87,60,Hawk
88,40,Hawk
89,20,Hawk
90,80,Hawk
91,80,Hawk
92,40,Hawk
93,40,Hawk
94,20,Hawk
95,80,Hawk
96,100,Hawk
97,40,Hawk
98,60,Hawk
99,20,Hawk
100,40,Hawk
101,20,Hawk
102,80,Hawk
