ID,Health,Type
1,20,Dove
2,60,Dove
3,40,Dove
4,20,Dove
5,40,Dove
6,40,Dove
7,20,Dove
8,60,Dove
9,20,Dove
10,100,Dove
11,40,Dove
12,100,Dove
13,80,Dove
14,40,Dove
15,60,Dove
16,40,Dove
17,60,Dove
18,100,Dove
19,80,Dove
20,100,Dove
21,20,Dove
22,20,Dove
23,100,Dove
24,20,Dove
25,80,Dove
26,60,Dove
27,40,Dove
28,80,Dove
29,40,Dove
30,20,Dove
31,60,Dove
32,40,Dove
33,100,Dove
34,60,Dove
35,80,Dove
36,80,Dove
37,20,Dove
38,80,Dove
39,80,Dove
40,20,Dove
41,40,Dove
42,80,Dove
43,60,Dove
44,60,Dove
45,80,Dove
46,80,Dove
47,80,Dove
48,100,Dove
49,40,Dove
50,100,Dove
51,20,Dove
52,80,Dove
53,100,Dove
54,80,Dove
55,60,Dove
56,80,Dove
57,100,Dove
58,80,Dove
59,100,Dove
60,100,Dove
61,40,Dove
62,100,Dove
63,60,Dove
64,20,Hawk
65,80,Hawk
66,60,Hawk
67,100,Hawk
68,60,Hawk
69,100,Hawk
70,40,Hawk
71,20,Hawk
72,80,Hawk
73,60,Hawk
74,20,Hawk
75,80,Hawk
76,20,Hawk
77,80,Hawk
78,40,Hawk
79,20,Hawk
80,40,Hawk
81,20,Hawk
82,80,Hawk
83,20,Hawk
84,100,Hawk
85,100,Hawk
86,80,Hawk
87,60,Hawk
88,100,Hawk
89,20,Hawk
90,60,Hawk
91,60,Hawk
92,60,Hawk
93,80,Hawk
94,100,Hawk
95,40,Hawk
96,80,Hawk
97,40,Hawk
98,100,Hawk
99,60,Hawk
100,60,Hawk
101,100,Hawk
102,60,Hawk
103,60,Hawk
104,60,Hawk
105,20,Hawk
106,100,Hawk
107,80,Hawk
108,80,Hawk
109,80,Hawk
110,80,Hawk
111,100,Hawk
112,20,Hawk
113,60,Hawk
114,40,Hawk
115,20,Hawk
116,60,Hawk
117,60,Hawk
118,20,Hawk
119,60,Hawk
120,20,Hawk
121,80,Hawk
122,100,Hawk
123,20,Hawk
124,20,Hawk
125,60,Hawk
126,80,Hawk
