ID,Health,Type
1,20,Dove
2,40,Dove
3,80,Dove
4,20,Dove
5,20,Dove
6,40,Dove
7,20,Dove
8,80,Dove
9,80,Dove
10,40,Dove
11,100,Dove
12,100,Dove
13,40,Dove
14,100,Dove
15,100,Dove
16,20,Dove
17,40,Dove
18,40,Dove
19,80,Dove
20,80,Dove
21,20,Dove
22,80,Dove
23,60,Dove
24,40,Dove
25,100,Dove
26,40,Dove
27,60,Dove
28,20,Dove
29,20,Dove
30,100,Dove
31,40,Dove
32,40,Dove
33,40,Dove
34,80,Dove
35,40,Dove
36,100,Dove
37,20,Dove
38,40,Dove
39,40,Dove
40,40,Dove
41,100,Dove
42,100,Dove
43,40,Hawk
44,20,Hawk
45,20,Hawk
46,80,Hawk
47,40,Hawk
48,80,Hawk
49,60,Hawk
50,20,Hawk
51,20,Hawk
52,100,Hawk
53,60,Hawk
54,60,Hawk
55,100,Hawk
56,100,Hawk
57,80,Hawk
58,80,Hawk
59,80,Hawk
60,100,Hawk
61,60,Hawk
62,20,Hawk
63,60,Hawk
64,60,Hawk
65,100,Hawk
66,80,Hawk
67,100,Hawk
68,20,Hawk
69,40,Hawk
70,40,Hawk
71,60,Hawk
72,60,Hawk
73,60,Hawk
74,20,Hawk
75,40,Hawk
76,40,Hawk
77,80,Hawk
78,80,Hawk
79,80,Hawk
80,40,Hawk
81,20,Hawk
82,20,Hawk
83,20,Hawk
