ID,Health,Type
1,60,Dove
2,40,Dove
3,80,Dove
4,20,Dove
5,20,Dove
6,40,Dove
7,40,Dove
8,60,Dove
9,20,Dove
10,60,Dove
11,80,Dove
12,40,Dove
13,40,Dove
14,80,Dove
15,40,Dove
16,40,Dove
17,20,Dove
18,100,Dove
19,20,Dove
20,40,Dove
21,40,Dove
22,60,Dove
23,20,Dove
24,100,Dove
25,20,Dove
26,80,Dove
27,60,Dove
28,20,Dove
29,60,Dove
30,40,Dove
31,20,Dove
32,40,Dove
33,40,Dove
34,20,Dove
35,20,Dove
36,40,Dove
37,20,Dove
38,80,Dove
39,40,Dove
40,60,Dove
41,60,Dove
42,60,Dove
43,20,Hawk
44,80,Hawk
45,60,Hawk
46,100,Hawk
47,100,Hawk
48,20,Hawk
49,80,Hawk
50,20,Hawk
51,40,Hawk
52,40,Hawk
53,100,Hawk
54,60,Hawk
55,40,Hawk
56,100,Hawk
57,100,Hawk
58,20,Hawk
59,60,Hawk
60,80,Hawk
61,80,Hawk
62,60,Hawk
63,100,Hawk
64,100,Hawk
65,60,Hawk
66,40,Hawk
67,80,Hawk
68,40,Hawk
69,20,Hawk
70,60,Hawk
71,20,Hawk
72,80,Hawk
73,20,Hawk
74,60,Hawk
75,20,Hawk
76,60,Hawk
77,40,Hawk
78,60,Hawk
79,100,Hawk
80,40,Hawk
81,100,Hawk
82,40,Hawk
