ID,Health,Type
1,80,Dove
2,20,Dove
3,40,Dove
4,40,Dove
5,100,Dove
6,100,Dove
7,40,Dove
8,40,Dove
9,20,Dove
10,100,Dove
11,80,Dove
12,60,Dove
13,100,Dove
14,40,Dove
15,20,Dove
16,80,Dove
17,20,Dove
18,60,Dove
19,80,Dove
20,100,Dove
21,60,Dove
22,60,Dove
23,100,Dove
24,100,Dove
25,60,Dove
26,80,Dove
27,60,Dove
28,100,Dove
29,80,Dove
30,40,Dove
31,100,Dove
32,80,Dove
33,80,Dove
34,40,Dove
35,80,Dove
36,60,Dove
37,80,Dove
38,40,Dove
39,60,Dove
40,20,Dove
41,40,Dove
42,100,Dove
43,40,Dove
44,60,Dove
45,60,Dove
46,80,Dove
47,80,Dove
48,60,Dove
49,40,Dove
50,20,Dove
51,40,Dove
52,40,Dove
53,80,Hawk
54,80,Hawk
55,60,Hawk
56,80,Hawk
57,20,Hawk
58,20,Hawk
59,100,Hawk
60,80,Hawk
61,40,Hawk
62,20,Hawk
63,80,Hawk
64,40,Hawk
65,100,Hawk
66,80,Hawk
67,20,Hawk
68,80,Hawk
69,20,Hawk
70,80,Hawk
71,20,Hawk
72,100,Hawk
73,40,Hawk
74,60,Hawk
75,40,Hawk
76,20,Hawk
77,60,Hawk
78,60,Hawk
79,20,Hawk
80,100,Hawk
81,60,Hawk
82,20,Hawk
83,100,Hawk
84,80,Hawk
85,20,Hawk
86,20,Hawk
87,100,Hawk
88,20,Hawk
89,80,Hawk
90,40,Hawk
91,40,Hawk
92,100,Hawk
93,100,Hawk
94,100,Hawk
