ID,Health,Type
1,20,Dove
2,100,Dove
3,100,Dove
4,20,Dove
5,100,Dove
6,80,Dove
7,100,Dove
8,40,Dove
9,60,Dove
10,100,Dove
11,20,Dove
12,80,Dove
13,100,Dove
14,20,Dove
15,100,Dove
16,40,Dove
17,60,Dove
18,100,Dove
19,20,Dove
20,80,Dove
21,40,Dove
22,40,Dove
23,20,Dove
24,60,Dove
25,60,Dove
26,40,Dove
27,40,Dove
28,80,Dove
29,100,Dove
30,100,Dove
31,60,Dove
32,100,Dove
33,80,Dove
34,20,Dove
35,20,Dove
36,60,Dove
37,100,Dove
38,20,Dove
39,40,Dove
40,20,Dove
41,40,Dove
42,80,Dove
43,60,Dove
44,60,Dove
45,20,Dove
46,100,Dove
47,40,Dove
48,100,Dove
49,60,Dove
50,80,Dove
51,80,Dove
52,100,Dove
53,40,Dove
54,100,Dove
55,40,Dove
56,20,Dove
57,100,Dove
58,40,Dove
59,20,Dove
60,100,Dove
61,40,Dove
62,60,Dove
63,80,Hawk
64,20,Hawk
65,40,Hawk
66,100,Hawk
67,40,Hawk
68,80,Hawk
69,60,Hawk
70,40,Hawk
71,60,Hawk
72,80,Hawk
73,100,Hawk
74,100,Hawk
75,80,Hawk
76,60,Hawk
77,80,Hawk
78,60,Hawk
79,40,Hawk
80,100,Hawk
81,20,Hawk
82,20,Hawk
83,20,Hawk
84,20,Hawk
85,20,Hawk
86,100,Hawk
87,100,Hawk
88,100,Hawk
89,20,Hawk
90,40,Hawk
91,20,Hawk
92,60,Hawk
93,60,Hawk
94,60,Hawk
95,60,Hawk
96,60,Hawk
97,60,Hawk
98,60,Hawk
99,20,Hawk
100,80,Hawk
101,80,Hawk
102,80,Hawk
103,100,Hawk
104,80,Hawk
105,40,Hawk
106,60,Hawk
107,80,Hawk
108,100,Hawk
109,40,Hawk
110,100,Hawk
111,40,Hawk
112,20,Hawk
113,20,Hawk
114,60,Hawk
115,40,Hawk
116,20,Hawk
117,100,Hawk
118,60,Hawk
119,60,Hawk
120,40,Hawk
121,80,Hawk
122,80,Hawk
