ID,Health,Type
1,80,Dove
2,40,Dove
3,80,Dove
4,20,Dove
5,40,Dove
6,60,Dove
7,40,Dove
8,60,Dove
9,60,Dove
10,80,Dove
11,20,Dove
12,40,Dove
13,20,Dove
14,40,Dove
15,20,Dove
16,100,Dove
17,20,Dove
18,40,Dove
19,40,Dove
20,80,Dove
21,100,Dove
22,40,Dove
23,40,Dove
24,60,Dove
25,60,Dove
26,100,Dove
27,100,Dove
28,20,Dove
29,60,Dove
30,80,Dove
31,20,Dove
32,40,Dove
33,60,Dove
34,20,Dove
35,20,Dove
36,20,Dove
37,100,Dove
38,20,Dove
39,60,Dove
40,40,Dove
41,60,Dove
42,40,Dove
43,60,Dove
44,20,Dove
45,20,Dove
46,60,Dove
47,40,Dove
48,60,Dove
49,40,Dove
50,60,Dove
51,40,Dove
52,80,Dove
53,20,Dove
54,60,Dove
55,80,Dove
56,20,Dove
57,40,Dove
58,40,Dove
59,20,Dove
60,20,Dove
61,100,Dove
62,80,Dove
63,60,Dove
64,100,Dove
65,20,Hawk
66,80,Hawk
67,40,Hawk
68,40,Hawk
69,40,Hawk
70,20,Hawk
71,60,Hawk
72,60,Hawk
73,100,Hawk
74,60,Hawk
75,60,Hawk
76,20,Hawk
77,80,Hawk
78,80,Hawk
79,80,Hawk
80,20,Hawk
81,80,Hawk
82,20,Hawk
83,40,Hawk
84,20,Hawk
85,100,Hawk
86,60,Hawk
87,100,Hawk
88,20,Hawk
89,40,Hawk
90,100,Hawk
91,80,Hawk
92,60,Hawk
93,40,Hawk
94,80,Hawk
95,60,Hawk
96,80,Hawk
97,60,Hawk
98,20,Hawk
99,100,Hawk
100,40,Hawk
101,100,Hawk
102,60,Hawk
103,40,Hawk
104,20,Hawk
105,60,Hawk
106,40,Hawk
107,60,Hawk
108,60,Hawk
109,60,Hawk
110,40,Hawk
111,80,Hawk
112,60,Hawk
113,100,Hawk
114,80,Hawk
115,40,Hawk
116,40,Hawk
117,60,Hawk
118,100,Hawk
119,60,Hawk
120,60,Hawk
121,100,Hawk
122,80,Hawk
123,60,Hawk
124,80,Hawk
125,80,Hawk
126,60,Hawk
127,60,Hawk
128,40,Hawk
