ID,Health,Type
1,80,Dove
2,60,Dove
3,60,Dove
4,80,Dove
5,80,Dove
6,40,Dove
7,60,Dove
8,80,Dove
9,60,Dove
10,60,Dove
11,40,Dove
12,20,Dove
13,60,Dove
14,100,Dove
15,100,Dove
16,100,Dove
17,20,Dove
18,20,Dove
19,40,Dove
20,100,Dove
21,80,Dove
22,40,Dove
23,100,Dove
24,100,Dove
25,80,Dove
26,80,Dove
27,60,Dove
28,80,Dove
29,60,Dove
30,100,Dove
31,60,Dove
32,100,Dove
33,100,Dove
34,20,Dove
35,40,Dove
36,100,Dove
37,20,Dove
38,100,Dove
39,40,Dove
40,20,Dove
41,80,Dove
42,20,Dove
43,40,Dove
44,20,Dove
45,80,Dove
46,60,Dove
47,100,Dove
48,40,Dove
49,40,Dove
50,100,Dove
51,100,Dove
52,80,Dove
53,100,Dove
54,40,Dove
55,80,Dove
56,60,Dove
57,80,Dove
58,20,Dove
59,100,Dove
60,100,Dove
61,60,Dove
62,40,Dove
63,60,Dove
64,80,Dove
65,60,Dove
66,60,Dove
67,40,Dove
68,80,Dove
69,20,Dove
70,100,Dove
71,60,Dove
72,20,Dove
73,60,Hawk
74,80,Hawk
75,20,Hawk
76,40,Hawk
77,60,Hawk
78,40,Hawk
79,100,Hawk
80,20,Hawk
81,60,Hawk
82,40,Hawk
83,100,Hawk
84,60,Hawk
85,80,Hawk
86,40,Hawk
87,100,Hawk
88,60,Hawk
89,60,Hawk
90,100,Hawk
91,80,Hawk
92,40,Hawk
93,100,Hawk
94,40,Hawk
95,60,Hawk
96,60,Hawk
97,80,Hawk
98,80,Hawk
99,60,Hawk
100,20,Hawk
101,100,Hawk
102,80,Hawk
103,60,Hawk
104,80,Hawk
105,100,Hawk
106,80,Hawk
107,100,Hawk
108,80,Hawk
109,100,Hawk
110,100,Hawk
111,100,Hawk
112,100,Hawk
113,40,Hawk
114,20,Hawk
115,80,Hawk
116,80,Hawk
117,40,Hawk
118,40,Hawk
119,20,Hawk
120,40,Hawk
121,60,Hawk
122,40,Hawk
123,80,Hawk
124,40,Hawk
125,20,Hawk
126,60,Hawk
127,100,Hawk
128,20,Hawk
129,60,Hawk
130,20,Hawk
131,100,Hawk
132,40,Hawk
133,40,Hawk
134,40,Hawk
135,20,Hawk
136,100,Hawk
137,20,Hawk
138,80,Hawk
139,40,Hawk
140,100,Hawk
141,60,Hawk
142,40,Hawk
