ID,Health,Type
1,100,Dove
2,60,Dove
3,40,Dove
4,80,Dove
5,60,Dove
6,60,Dove
7,40,Dove
8,80,Dove
9,80,Dove
10,20,Dove
11,20,Dove
12,100,Dove
13,20,Dove
14,100,Dove
15,20,Dove
16,80,Dove
17,40,Dove
18,80,Dove
19,20,Dove
20,100,Dove
21,60,Dove
22,80,Dove
23,100,Dove
24,20,Dove
25,40,Dove
26,100,Dove
27,100,Dove
28,40,Dove
29,40,Dove
30,20,Dove
31,60,Dove
32,80,Dove
33,100,Dove
34,40,Dove
35,60,Dove
36,40,Dove
37,80,Dove
38,80,Dove
39,40,Dove
40,100,Dove
41,20,Dove
42,40,Dove
43,100,Dove
44,80,Dove
45,80,Hawk
46,60,Hawk
47,100,Hawk
48,60,Hawk
49,80,Hawk
50,60,Hawk
51,80,Hawk
52,100,Hawk
53,80,Hawk
54,60,Hawk
55,40,Hawk
56,80,Hawk
57,100,Hawk
58,60,Hawk
59,100,Hawk
60,100,Hawk
61,40,Hawk
62,60,Hawk
63,40,Hawk
64,40,Hawk
65,60,Hawk
66,40,Hawk
67,100,Hawk
68,100,Hawk
69,60,Hawk
70,80,Hawk
71,20,Hawk
72,60,Hawk
73,40,Hawk
74,40,Hawk
75,60,Hawk
76,60,Hawk
77,20,Hawk
78,100,Hawk
79,80,Hawk
80,100,Hawk
81,20,Hawk
82,20,Hawk
83,20,Hawk
84,80,Hawk
85,80,Hawk
86,100,Hawk
87,60,Hawk
88,80,Hawk
