ID,Health,Type
1,100,Dove
2,40,Dove
3,80,Dove
4,60,Dove
5,20,Dove
6,60,Dove
7,60,Dove
8,80,Dove
9,80,Dove
10,20,Dove
11,20,Dove
12,80,Dove
13,60,Dove
14,40,Dove
15,100,Dove
16,40,Dove
17,80,Dove
18,80,Dove
19,20,Dove
20,40,Dove
21,60,Dove
22,40,Dove
23,40,Dove
24,40,Dove
25,80,Dove
26,40,Dove
27,80,Dove
28,100,Dove
29,60,Dove
30,40,Dove
31,40,Dove
32,40,Dove
33,100,Hawk
34,20,Hawk
35,60,Hawk
36,100,Hawk
37,80,Hawk
38,20,Hawk
39,20,Hawk
40,20,Hawk
41,100,Hawk
42,20,Hawk
43,60,Hawk
44,40,Hawk
45,60,Hawk
46,60,Hawk
47,80,Hawk
48,20,Hawk
49,100,Hawk
50,60,Hawk
51,20,Hawk
52,60,Hawk
53,60,Hawk
54,80,Hawk
55,100,Hawk
56,100,Hawk
57,20,Hawk
58,100,Hawk
59,80,Hawk
60,40,Hawk
61,20,Hawk
62,80,Hawk
63,20,Hawk
64,60,Hawk
